Domain,Company Name,Company Region,Company Country,Company Industry
appsumo.com,Sumo Group (Sumo.com / AppSumo.com),,,Internet
att.net,ATT,,United Kingdom,Business Services: Business Services Other
janus.com,Janus Henderson Investors U.S.,Colorado,United States,Investment Management
whitefence.com,WhiteFence,Texas,United States,Internet
ntt.com,NTT Australia Pty Ltd,,Australia,Information Technology & Services
equinix.com,Equinix,California,United States,Internet
speakeasy.net,Speakeasy,California,United States,Telecommunications
cio.com,CIO Magazine,,,Publishing
cspire.com,C Spire,Mississippi,United States,Telecommunications
example.com,example,Idaho,United States,Business Services: HR and Recruiting Services
yammer.com,"Yammer, Inc.",California,United States,Computer Software
so-net.ne.jp,Sonet,,,Telecommunications
datapipe.com,Datapipe,New Jersey,United States,Information Technology & Services
clicksor.com,Clicksor.com,Ontario,Canada,Marketing & Advertising
inetu.net,"INetU, a ViaWest Company",Pennsylvania,United States,Information Technology & Services
gogrid.com,GoGrid,California,United States,Internet
singlehop.com,SingleHop,Illinois,United States,Information Technology & Services
t-online.de,T-Online,,,Internet
iweb.com,iWeb,Quebec,Canada,Information Technology & Services
idrive.com,IDrive Software India Pvt Ltd,,,Computer Software
toutapp.com,"ToutApp, Inc.",California,United States,Internet
me.com,Apple,California,United States,Consumer Electronics
consumer-rankings.com,,,,
411.ca,411.ca,Ontario,Canada,Information Technology & Services
moonfruit.com,Moonfruit,,,Internet
bandwidth.com,Bandwidth Inc.,North Carolina,United States,Telecommunications
vzwshop.com,Verizon Wireless,New Jersey,United States,Telecommunications
xfinity.com,,,,
digium.com,Digium,Alabama,United States,Telecommunications
discounttwo-wayradio.com,Discount Two-Way Radio,California,United States,Business Supplies & Equipment
mashery.com,Mashery,California,United States,Information Technology & Services
carphonewarehouse.com,Carphone Warehouse,,United Kingdom,Retail
sherweb.com,SherWeb,Quebec,Canada,Information Technology & Services
shoretel.com,ShoreTel,California,United States,Telecommunications
imation.com,Imation,Minnesota,United States,Information Technology & Services
nobelcom.com,Nobelcom Ltd.,Massachusetts,United States,Consumer Services: Consumer Services Other
mocospace.com,Mocospace.com,Massachusetts,United States,Software & Internet: E-commerce and Internet Businesses
talktalk.co.uk,TalkTalk,,United Kingdom,Telecommunications
alexa.com,Alexa.com,California,United States,Internet
yahoo.net,Yahoo,California,United States,Internet
conductor.com,"Conductor, Inc.",New York,United States,Internet
digitalchocolate.com,Digital Chocolate,California,United States,Computer Games
ampedwireless.com,Amped Wireless,,,Computer Networking
mixpanel.com,Mixpanel,California,United States,Computer Software
netfirms.com,Netfirms,Ontario,Canada,Internet
infinitydish.com,,,,
scoutmob.com,Scoutmob,Georgia,United States,Internet
unbounce.com,Unbounce,British Columbia,Canada,Marketing & Advertising
netvibes.com,Netvibes,California,United States,Internet
photobiz.com,PhotoBiz LLC,North Carolina,United States,Internet
efaxcorporate.com,j2 Global,California,United States,Information Services
arubanetworks.com,"Aruba, a Hewlett Packard Enterprise company",California,United States,Computer Networking
bodyguardz.com,BGZ brands™,Utah,United States,Wireless
pinnaclecart.com,"Pinnacle Cart, Inc",Arizona,United States,Computer Software
sitepoint.com,SitePoint,,Australia,Internet
aerohive.com,Aerohive Networks,California,United States,Wireless
echodesign.com,Echo Design Group,New York,United States,Apparel & Fashion
signupgenius.com,SignUpGenius,,,Internet
directtrack.com,Direct Response Technologies,Pennsylvania,United States,Computer Software
nettalk.com,netTALK,Florida,United States,Telecommunications
tripod.com,Tripod,Indiana,United States,Other: Other
inmobi.com,InMobi,,India,Marketing & Advertising
narod.ru,narod,California,United States,Other: Other
artistwebsites.com,,,,
telus.net,TELUS,British Columbia,Canada,Telecommunications
3gstore.com,3Gstore.com,Illinois,United States,Telecommunications
bronto.com,Oracle + Bronto,North Carolina,United States,Computer Software
cafe24.com,Cafe 24,Ohio,United States,Retail: Restaurants and Bars
tradeindia.com,Tradeindia.com-Infocom Network Ltd,,India,Online Publishing
windowsazure.com,,,,
flippingbook.com,FlippingBook,,,Computer Software
woothemes.com,WooThemes,,,Internet
bestcovery.com,"Bestcovery.com, LLC",California,United States,Internet
sina.com.cn,SINA,,,Nonprofit Organization Management
yahoo.com,Yahoo!,,,Internet
thehighcalling.org,The High Calling,,,Publishing
ezetop.com,Ding.com,,Ireland,Telecommunications
altervista.org,CalvisanoWeb,,,Internet
digitallanding.com,Digital Landing,Florida,United States,Business Services: Business Services Other
fb.com,Facebook,California,United States,Internet
allconnect.com,Allconnect,Georgia,United States,Consumer Services
trendhunter.com,Trend Hunter,Ontario,Canada,Market Research
vidyo.com,Vidyo,New Jersey,United States,Information Technology & Services
otherinbox.com,OtherInbox,Texas,United States,Internet
mediacomcable.com,Mediacom Communications,New York,United States,Telecommunications
anymeeting.com,AnyMeeting,California,United States,Computer Software
lge.com,LG Electronics,California,United States,Consumer Electronics
yesware.com,Yesware,Massachusetts,United States,Internet
hostdime.com,HostDime.com,Florida,United States,Internet
buy.com,Rakuten.com,,,Consumer Goods
relianceglobalcall.com,Reliance Global Call,,,Telecommunications
clickmeter.com,ClickMeter,,,Marketing & Advertising
ignitionone.com,IgnitionOne,,,Marketing & Advertising
pages05.net,,,,
kvh.com,"KVH Industries, Inc.",Rhode Island,United States,Telecommunications
local03.com,Local 03,,,Telecommunications
launchrock.com,Launchrock,California,United States,Internet
izea.com,IZEA,Florida,United States,Marketing & Advertising
tributes.com,"Tributes, Inc.",Massachusetts,United States,Internet
hdaccessory.com,hdaccessory,California,United States,Consumer Services: Consumer Services Other
antonline.com,Antonline.com,Georgia,United States,Consumer Electronics
hatena.ne.jp,Hatena.Co.Ltd,,Japan,Internet
geocities.jp,GeoCities,California,United States,Other: Other
pogoplug.com,Cloud Engines,,,Consumer Electronics
slickdeals.net,"Slickdeals, LLC",Nevada,United States,Online Publishing
tollfreeforwarding.com,TollFreeForwarding.com,California,United States,Telecommunications
smaato.com,Smaato,California,United States,Marketing & Advertising
vps.net,VPS.NET,Utah,United States,Information Technology & Services
sewelldirect.com,Sewell Direct,Utah,United States,Retail: Retail Other
hostbaby.com,CD Baby,Oregon,United States,Music
swisscom.ch,Swisscom,,Switzerland,Information Technology & Services
ipower.com,IPOWER,,,Information Technology & Services
crackberry.com,CrackBerry.com,,,Information Technology & Services
sinovision.net,SinoVision,,,Media Production
line2.com,Line2,California,United States,Telecommunications
accrisoft.com,Accrisoft Corporation,Florida,United States,Internet
sendthisfile.com,"SendThisFile, Inc.",Kansas,United States,Internet
localphone.com,Localphone Ltd.,,United Kingdom,Telecommunications
invisionapp.com,InVision,New York,United States,Internet
siteground.com,SiteGround Web Hosting Company,,,Information Technology & Services
zoner.com,ZONER software,Florida,United States,Computer Software
copernic.com,Copernic,Quebec,Canada,Computer Software
telekom.com,Deutsche Telekom UK Limited,,,Telecommunications
whichvoip.com,WhichVoIP.com,Washington,United States,Internet
graphicmail.com,SharpSpring Mail +,Florida,United States,Internet
clicktale.com,Clicktale,Texas,United States,Internet
callsource.com,CallSource,California,United States,Information Services
ait.com,"Advanced Internet Technologies, Inc.",North Carolina,United States,Information Technology & Services
no-ip.com,No-IP.com,,,Computer Networking
toast.net,TOAST.net Internet Service,Ohio,United States,Internet
mobal.com,Mobal Communications Inc,New York,United States,Telecommunications
tatacommunications.com,Tata Communications,,India,Telecommunications
cwa-union.org,Communications Workers of America,District Of Columbia,United States,Civic & Social Organization
accessorygeeks.com,Accessorygeeks.com,California,United States,Retail
at.ua,MebelXL.kiev.ua - Мебель на заказ,,,Furniture
net10.com,Net 10 Technologies Inc,California,United States,Computers & Electronics: Instruments and Controls
eweek.com,eWEEK.com,Massachusetts,United States,Writing & Editing
gigaom.com,Gigaom,California,United States,Online Publishing
jiwire.com,JiWire,California,United States,Marketing & Advertising
163.com,NetEase,,China,Internet
yolasite.com,,,,
seidioonline.com,"Seidio, Inc.",Texas,United States,Consumer Electronics
kajeet.com,Kajeet,Maryland,United States,Telecommunications
topproducer.com,Top Producer Systems,British Columbia,Canada,Real Estate
abril.com.br,Abril,,Brazil,Media Production
infoseek.co.jp,Infoseek,,,Internet
polleverywhere.com,Poll Everywhere,Illinois,United States,Information Technology & Services
hostmysite.com,HostMySite,Delaware,United States,Information Technology & Services
simplycast.com,SimplyCast,Nova Scotia,Canada,Marketing & Advertising
snapapp.com,SnapApp,Massachusetts,United States,Marketing & Advertising
tribesports.com,Tribesports,,,Sporting Goods
hasoffers.com,TUNE,Washington,United States,Marketing & Advertising
mayo.edu,Mayo Foundation for Medical Education and Research,Minnesota,United States,"Education, Colleges and Universities, Healthcare, Pharmaceuticals, & Biotech, Hospitals"
jumpfly.com,JumpFly,Illinois,United States,Marketing & Advertising
uniden.com,Uniden,Texas,United States,Telecommunications
mobileiron.com,MobileIron,California,United States,Computer Software
streamsend.com,StreamSend,California,United States,Marketing & Advertising
a2hosting.com,A2 Hosting,Michigan,United States,Internet
nextjobathome.com,,,,
podomatic.com,PodOmatic,California,United States,Internet
thinglink.com,ThingLink,,Finland,Internet
apnic.net,APNIC,,Australia,Internet
bezecom.com,Bezecom,,,Telecommunications
fairpoint.com,FairPoint Communications,North Carolina,United States,Telecommunications
digi.com,Digi International,Minnesota,United States,Wireless
usr.com,USRobotics,Illinois,United States,Telecommunications
